rxcui,ingredient_name,drugbank_id,drugbank_name,confidence,match_type,related_drugbank_ids,search_url,notes
5542,17-alpha-hydroxyprogesterone,DB14570,17-alpha-hydroxyprogesterone,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/5542/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
851732,Acacia pollen extract,DB10451,Acacia pollen extract,GREEN,RXNORM_XREF,DB10940,https://rxnav.nlm.nih.gov/REST/rxcui/851732/allProperties.json?prop=ALL,RxNorm returned 2 DrugBank ID(s)
828529,"albumin human, USP",DB00062,"albumin human, USP",GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/828529/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
892507,almond allergenic extract,DB10500,almond allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/892507/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
476786,aloe polysaccharide,,,RED,NOT_FOUND,,https://rxnav.nlm.nih.gov/REST/rxcui/476786/allProperties.json?prop=ALL,"Not found in RxNorm, PubChem, or DrugBank search"
901845,Alternaria alternata allergenic extract,DB10424,Alternaria alternata allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/901845/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
1116977,American house dust mite allergenic extract,DB10400,American house dust mite allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/1116977/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
155002,aminolevulinate,DB00855,aminolevulinate,GREEN,PUBCHEM_XREF,,https://pubchem.ncbi.nlm.nih.gov/compound/aminolevulinate,PubChem returned 1 DrugBank ID(s)
895574,apricot allergenic extract,DB10502,apricot allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/895574/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
891796,asparagus allergenic extract,DB10503,asparagus allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/891796/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
